"GEO_ID","NAME","B02011_001E","B02011_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"8600000US01560","ZCTA5 01560","703","136"
"8600000US01561","ZCTA5 01561","93","152"
"8600000US01562","ZCTA5 01562","428","463"
"8600000US01564","ZCTA5 01564","29","35"
"8600000US01566","ZCTA5 01566","190","176"
"8600000US01568","ZCTA5 01568","436","224"
"8600000US01569","ZCTA5 01569","354","298"
"8600000US01570","ZCTA5 01570","182","132"
"8600000US01571","ZCTA5 01571","394","294"
"8600000US01581","ZCTA5 01581","4741","472"
"8600000US01583","ZCTA5 01583","152","89"
"8600000US01585","ZCTA5 01585","50","54"
"8600000US01588","ZCTA5 01588","533","413"
"8600000US01590","ZCTA5 01590","199","107"
"8600000US01602","ZCTA5 01602","1552","445"
"8600000US01603","ZCTA5 01603","2302","546"
"8600000US01604","ZCTA5 01604","3591","695"
"8600000US01605","ZCTA5 01605","2179","486"
"8600000US01606","ZCTA5 01606","1255","355"
"8600000US01607","ZCTA5 01607","489","263"
"8600000US01608","ZCTA5 01608","154","98"
"8600000US01609","ZCTA5 01609","1578","367"
"8600000US01610","ZCTA5 01610","2297","508"
"8600000US01611","ZCTA5 01611","5","9"
"8600000US01612","ZCTA5 01612","38","31"
"8600000US01701","ZCTA5 01701","2812","521"
"8600000US01702","ZCTA5 01702","3713","589"
"8600000US01718","ZCTA5 01718","246","241"
"8600000US01719","ZCTA5 01719","1345","256"
"8600000US01720","ZCTA5 01720","6116","651"
"8600000US01721","ZCTA5 01721","1918","274"
"8600000US01730","ZCTA5 01730","2261","378"
"8600000US01731","ZCTA5 01731","306","151"
"8600000US01740","ZCTA5 01740","285","139"
"8600000US01741","ZCTA5 01741","651","128"
"8600000US01742","ZCTA5 01742","1655","403"
"8600000US01745","ZCTA5 01745","32","41"
"8600000US01746","ZCTA5 01746","825","264"
"8600000US01747","ZCTA5 01747","25","39"
"8600000US01748","ZCTA5 01748","1845","247"
"8600000US01749","ZCTA5 01749","623","281"
"8600000US01752","ZCTA5 01752","2566","564"
"8600000US01754","ZCTA5 01754","313","227"
"8600000US01756","ZCTA5 01756","98","89"
"8600000US01757","ZCTA5 01757","947","259"
"8600000US01760","ZCTA5 01760","5232","516"
"8600000US01770","ZCTA5 01770","286","92"
"8600000US01772","ZCTA5 01772","1381","269"
"8600000US01773","ZCTA5 01773","467","171"
"8600000US01775","ZCTA5 01775","371","89"
"8600000US01776","ZCTA5 01776","2451","321"
"8600000US01778","ZCTA5 01778","1834","206"
"8600000US01801","ZCTA5 01801","3451","588"
"8600000US01803","ZCTA5 01803","4889","468"
"8600000US01810","ZCTA5 01810","5410","463"
"8600000US01821","ZCTA5 01821","3047","606"
"8600000US01824","ZCTA5 01824","2545","456"
"8600000US01826","ZCTA5 01826","1410","392"
"8600000US01827","ZCTA5 01827","169","115"
"8600000US01830","ZCTA5 01830","624","311"
"8600000US01832","ZCTA5 01832","349","184"
"8600000US01833","ZCTA5 01833","132","110"
"8600000US01834","ZCTA5 01834","32","37"
"8600000US01835","ZCTA5 01835","485","271"
"8600000US01840","ZCTA5 01840","13","16"
"8600000US01841","ZCTA5 01841","796","335"
"8600000US01843","ZCTA5 01843","1271","508"
"8600000US01844","ZCTA5 01844","2086","413"
"8600000US01845","ZCTA5 01845","2372","361"
"8600000US01850","ZCTA5 01850","1019","379"
"8600000US01851","ZCTA5 01851","13237","1043"
"8600000US01852","ZCTA5 01852","5030","669"
"8600000US01854","ZCTA5 01854","7155","835"
"8600000US01860","ZCTA5 01860","98","119"
"8600000US01862","ZCTA5 01862","464","185"
"8600000US01863","ZCTA5 01863","975","183"
"8600000US01864","ZCTA5 01864","793","260"
"8600000US01867","ZCTA5 01867","1320","212"
"8600000US01876","ZCTA5 01876","1309","365"
"8600000US01879","ZCTA5 01879","1216","380"
"8600000US01880","ZCTA5 01880","771","270"
"8600000US01886","ZCTA5 01886","4862","335"
"8600000US01887","ZCTA5 01887","1314","352"
"8600000US01890","ZCTA5 01890","3266","343"
"8600000US01901","ZCTA5 01901","27","32"
"8600000US01902","ZCTA5 01902","4477","749"
"8600000US01904","ZCTA5 01904","722","295"
"8600000US01905","ZCTA5 01905","2708","368"
"8600000US01906","ZCTA5 01906","1483","523"
"8600000US01907","ZCTA5 01907","179","108"
"8600000US01908","ZCTA5 01908","59","48"
"8600000US01913","ZCTA5 01913","338","148"
"8600000US01915","ZCTA5 01915","1021","281"
"8600000US01921","ZCTA5 01921","331","200"
"8600000US01922","ZCTA5 01922","38","56"
"8600000US01923","ZCTA5 01923","675","275"
"8600000US01929","ZCTA5 01929","0","12"
"8600000US01930","ZCTA5 01930","525","302"
"8600000US01937","ZCTA5 01937","0","12"
"8600000US01938","ZCTA5 01938","148","65"
"8600000US01940","ZCTA5 01940","901","306"
"8600000US01944","ZCTA5 01944","52","55"
"8600000US01945","ZCTA5 01945","437","202"
"8600000US01949","ZCTA5 01949","200","91"
"8600000US01950","ZCTA5 01950","707","441"
"8600000US01951","ZCTA5 01951","0","12"
"8600000US01952","ZCTA5 01952","88","102"
"8600000US01960","ZCTA5 01960","663","300"
"8600000US01966","ZCTA5 01966","30","29"
"8600000US01969","ZCTA5 01969","97","95"
"8600000US01970","ZCTA5 01970","1334","350"
"8600000US01982","ZCTA5 01982","442","250"
"8600000US01983","ZCTA5 01983","175","105"
"8600000US01984","ZCTA5 01984","227","90"
"8600000US01985","ZCTA5 01985","62","58"
"8600000US02019","ZCTA5 02019","512","204"
"8600000US02021","ZCTA5 02021","2090","381"
"8600000US02025","ZCTA5 02025","64","81"
"8600000US02026","ZCTA5 02026","966","280"
"8600000US02030","ZCTA5 02030","751","211"
"8600000US02032","ZCTA5 02032","399","128"
"8600000US02035","ZCTA5 02035","423","194"
"8600000US02038","ZCTA5 02038","2230","466"
"8600000US02043","ZCTA5 02043","552","229"
"8600000US02045","ZCTA5 02045","238","161"
"8600000US02047","ZCTA5 02047","0","12"
"8600000US02048","ZCTA5 02048","1476","392"
"8600000US02050","ZCTA5 02050","230","112"
"8600000US02052","ZCTA5 02052","648","383"
"8600000US02053","ZCTA5 02053","486","231"
"8600000US02054","ZCTA5 02054","112","121"
"8600000US02056","ZCTA5 02056","281","153"
"8600000US02061","ZCTA5 02061","284","157"
"8600000US02062","ZCTA5 02062","2158","413"
"8600000US02066","ZCTA5 02066","89","66"
"8600000US02067","ZCTA5 02067","3229","308"
"8600000US02071","ZCTA5 02071","84","138"
"8600000US02072","ZCTA5 02072","1740","540"
"8600000US02081","ZCTA5 02081","942","334"
"8600000US02090","ZCTA5 02090","1615","317"
"8600000US02093","ZCTA5 02093","75","58"
"8600000US02108","ZCTA5 02108","289","144"
"8600000US02109","ZCTA5 02109","336","189"
"8600000US02110","ZCTA5 02110","286","242"
"8600000US02111","ZCTA5 02111","4368","468"
"8600000US02113","ZCTA5 02113","157","71"
"8600000US02114","ZCTA5 02114","1514","302"
"8600000US02115","ZCTA5 02115","5038","486"
"8600000US02116","ZCTA5 02116","3677","496"
"8600000US02118","ZCTA5 02118","4615","574"
"8600000US02119","ZCTA5 02119","1194","367"
"8600000US02120","ZCTA5 02120","2741","432"
"8600000US02121","ZCTA5 02121","275","170"
"8600000US02122","ZCTA5 02122","5332","642"
"8600000US02124","ZCTA5 02124","3850","737"
"8600000US02125","ZCTA5 02125","4087","595"
"8600000US02126","ZCTA5 02126","431","245"
"8600000US02127","ZCTA5 02127","1957","412"
"8600000US02128","ZCTA5 02128","2576","583"
"8600000US02129","ZCTA5 02129","1739","412"
"8600000US02130","ZCTA5 02130","3325","451"
"8600000US02131","ZCTA5 02131","912","327"
"8600000US02132","ZCTA5 02132","2129","325"
"8600000US02134","ZCTA5 02134","5224","662"
"8600000US02135","ZCTA5 02135","6997","660"
"8600000US02136","ZCTA5 02136","919","361"
"8600000US02138","ZCTA5 02138","6889","561"
"8600000US02139","ZCTA5 02139","6907","604"
"8600000US02140","ZCTA5 02140","3560","546"
"8600000US02141","ZCTA5 02141","2502","500"
"8600000US02142","ZCTA5 02142","1095","258"
"8600000US02143","ZCTA5 02143","3572","644"
"8600000US02144","ZCTA5 02144","2073","390"
"8600000US02145","ZCTA5 02145","2915","648"
"8600000US02148","ZCTA5 02148","15111","1361"
"8600000US02149","ZCTA5 02149","3736","767"
"8600000US02150","ZCTA5 02150","1533","468"
"8600000US02151","ZCTA5 02151","2755","601"
"8600000US02152","ZCTA5 02152","185","144"
"8600000US02155","ZCTA5 02155","7351","911"
"8600000US02163","ZCTA5 02163","632","185"
"8600000US02169","ZCTA5 02169","14994","1035"
"8600000US02170","ZCTA5 02170","8106","887"
"8600000US02171","ZCTA5 02171","7172","646"
"8600000US02176","ZCTA5 02176","1794","531"
"8600000US02180","ZCTA5 02180","824","308"
"8600000US02184","ZCTA5 02184","4809","543"
"8600000US02186","ZCTA5 02186","2117","376"
"8600000US02188","ZCTA5 02188","1116","409"
"8600000US02189","ZCTA5 02189","608","246"
"8600000US02190","ZCTA5 02190","1343","542"
"8600000US02191","ZCTA5 02191","587","249"
"8600000US02199","ZCTA5 02199","340","182"
"8600000US02203","ZCTA5 02203","0","12"
"8600000US02210","ZCTA5 02210","314","133"
"8600000US02215","ZCTA5 02215","6246","675"
"8600000US02301","ZCTA5 02301","1280","350"
"8600000US02302","ZCTA5 02302","495","220"
"8600000US02322","ZCTA5 02322","369","340"
"8600000US02324","ZCTA5 02324","856","320"
"8600000US02330","ZCTA5 02330","363","261"
"8600000US02332","ZCTA5 02332","303","162"
"8600000US02333","ZCTA5 02333","429","363"
"8600000US02338","ZCTA5 02338","41","49"
"8600000US02339","ZCTA5 02339","134","107"
"8600000US02341","ZCTA5 02341","177","162"
"8600000US02343","ZCTA5 02343","557","331"
"8600000US02346","ZCTA5 02346","221","192"
"8600000US02347","ZCTA5 02347","143","91"
"8600000US02351","ZCTA5 02351","822","307"
"8600000US02356","ZCTA5 02356","330","198"
"8600000US02357","ZCTA5 02357","69","59"
"8600000US02359","ZCTA5 02359","428","245"
"8600000US02360","ZCTA5 02360","870","302"
"8600000US02364","ZCTA5 02364","219","140"
"8600000US02366","ZCTA5 02366","0","12"
